asset_number,title,original_department,added_department
234,Bio Safety Cabinet,,
235,VWR Co2 Incubator,,
236,Superose 12 10/300 GL size exclusion column,,
237,UV Detection Unit for Protein Purification,PD,
238,UV Detection Unit for Protein Purification,,
239,Class 100 BSC,PD,
240,Kaye Validator 2000,EN,
241,Validator 2000 Sensor Input Module (SIM),EN,
242,Validator 2000 Sensor Input Module (SIM),EN,
243,Low temp reference,EN,
244,Intelligent RTO Temperature Probe (IRTD),EN,
245,VWR Signature Orbital Shaker,,
246,VWR Signature Orbital Shaker,,
247,Balance,,
248,Symphony pH Meter,PD,
249,Mettler toledo Balance - 110 g cap,PD,
250,Mettler Toledo Balance - 410 g cap,PD,
251,Chart Recorder; external,,
252,Honeywell Chart Recorder,,
255,Cell culture jacketed CO2 Incubator,,
256,2-8°C Environmental Cold Room,,
257,Cryobiological Storage Vessel; LN2,QC,
258,Liquid Nitrogen Level Sensor,QC,
259,VWR Photo Digital Tachometer,MM,
260,VWR Photo Digital Tachometer,EN,
261,Wave Unit,PD,
262,Eppendorf Repeater plus pipette,QC,
263,Timer,,
264,Pipettor L20,,
265,Pipettor L1000,QC,
266,Pipettor L200,QC,
272,Timer,,
273,Timer,,
274,Timer,,
275,Timer,,
278,Honeywell chart recorder,QC,
280,Honeywell chart recorder,,
282,Honeywell chart recorder,,
285,2-8 C Refrigerator 17 Cu Ft.,,
286,Binder Refrigerated Incubators,QC,
287,Digital Sling Psychrometer/Thermometer,,
288,Digital Sling Psychrometer/Thermometer,,
289,Pump,,
290,Pump,,
291,Pump,,
292,Pump,,
293,Pump,PD,
294,BPG column,PD,
296,Size Exclusion Chromotagraphy,,
297,VWR CO2 Incubator; Incubator 25,,
298,VWR CO2 Incubator; Incubator 26,,
299,Orbital Shaker,,
300,Orbital Shaker,,
301,Honeywell Chart Recorder,,
302,Honeywell Chart Recorder,,
303,Biological Safety Cabinet,,
304,Beckman Allegra 6R Refridgerated Benchtop Centrifuge,,
305,Mettler Toledo Top Loading Balance,,
306,Cuvette Set,QC,
307,Cuvette Set,QC,
308,Pipet-Lite LTS pipet 2-20 ul,QC,
309,Pipet-Lite LTS pipet 2-20 ul,QC,
310,Pipet-Lite LTS pipet 2-20 ul,QC,
312,Size Exclusion Column,,
313,BPG 100/500 Column,PD,
314,BPG 300/500 Column,,
315,BPG 140/500 Column,PD,
316,BPG 100/900 Column,PD,
317,BPG 100/500 Column,PD,
318,BPG 100/500 Column,,
319,BPG 100/500 Column,PD,
320,Manometer (0-5 Bar),,MF
321,Manometer,PD,
322,Manometer,PD,
323,Manometer,,MF
324,Manometer,PD,
327,BPG 200/500,PD,
328,Beckman Coulter Allegra X-12R Centrifuge,,
331,Timer,PD,
337,Timer,PD,
338,Timer,PD,
340,Power Supply,QC,
341,Positive Displacement Pipette 3-25ul,QC,
